,iso2,year,sex,age,cases
0,AD,2005,m,0-4,0
1,AD,2006,m,0-4,0
2,AD,2008,m,0-4,0
3,AE,2008,m,0-4,0
4,AL,2005,m,0-4,0
5,AL,2006,m,0-4,1
6,AL,2007,m,0-4,0
7,AM,2005,m,0-4,1
8,AM,2006,m,0-4,0
9,AM,2007,m,0-4,0
10,AM,2008,m,0-4,0
11,AR,2008,m,0-4,11
12,AT,2005,m,0-4,1
13,AT,2006,m,0-4,0
14,AZ,2005,m,0-4,2
15,AZ,2006,m,0-4,1
16,BA,2005,m,0-4,0
17,BA,2006,m,0-4,0
18,BA,2007,m,0-4,0
19,BA,2008,m,0-4,0
20,BB,2008,m,0-4,0
21,BE,2005,m,0-4,1
22,BE,2006,m,0-4,3
23,BE,2008,m,0-4,2
24,BG,2005,m,0-4,0
25,BG,2008,m,0-4,1
26,BH,2008,m,0-4,0
27,BN,2008,m,0-4,0
28,BR,2008,m,0-4,115
29,BS,2008,m,0-4,0
30,BW,2008,m,0-4,4
31,BZ,2008,m,0-4,0
32,CA,2008,m,0-4,0
33,CH,2005,m,0-4,0
34,CH,2006,m,0-4,0
35,CH,2007,m,0-4,0
36,CH,2008,m,0-4,0
37,CM,2008,m,0-4,0
38,CY,2005,m,0-4,0
39,CY,2006,m,0-4,0
40,CY,2007,m,0-4,0
41,CY,2008,m,0-4,0
42,CZ,2005,m,0-4,0
43,CZ,2006,m,0-4,0
44,CZ,2007,m,0-4,0
45,CZ,2008,m,0-4,0
46,DE,2005,m,0-4,2
47,DE,2006,m,0-4,0
48,DE,2007,m,0-4,0
49,DE,2008,m,0-4,0
50,DK,2005,m,0-4,0
51,DK,2006,m,0-4,0
52,DK,2007,m,0-4,0
53,DK,2008,m,0-4,0
54,DM,2008,m,0-4,0
55,DO,2008,m,0-4,2
56,EE,2005,m,0-4,0
57,EE,2006,m,0-4,0
58,EE,2007,m,0-4,0
59,EE,2008,m,0-4,0
60,EG,2008,m,0-4,0
61,ES,2005,m,0-4,6
62,ES,2006,m,0-4,12
63,ES,2007,m,0-4,4
64,ES,2008,m,0-4,9
65,FI,2005,m,0-4,0
66,FI,2006,m,0-4,0
67,FI,2007,m,0-4,0
68,FI,2008,m,0-4,0
69,FM,2008,m,0-4,1
70,FR,2005,m,0-4,7
